C1	26.78	16.38	0.00	100nf	CAPC1005X40N
C3	23.73	14.27	90.00	10uF	0603-POLAR
C4	29.78	14.29	90.00	10uF	0603-POLAR
D4	23.38	10.02	270.00	TPD2E001DZDR	SOT192P237X122-4N
IC1	26.68	5.32	270.00	CP2102	MLP28
R2	22.35	4.08	90.00	4.7k	0402
R7	37.50	6.50	90.00	10k	0402
R8	38.90	6.50	90.00	10k	0402
TP1	32.48	16.27	0.00	PTR1TP10R	TP10R
TP2	33.73	16.27	0.00	PTR1TP10R	TP10R
TP3	35.02	16.25	0.00	PTR1TP10R	TP10R
TP4	36.30	16.27	0.00	PTR1TP10R	TP10R
TP5	37.57	16.28	0.00	PTR1TP10R	TP10R
TP6	40.13	16.27	0.00	PTR1TP10R	TP10R
TP7	38.81	16.27	0.00	PTR1TP10R	TP10R
U2	26.75	14.20	270.00	3.3V	SOT23-5
